Created date,Case Type,Subtype,Reason,Customer reply count,Source,Ticket ID,Agent name,Subject
2020-09-10 9:16:59 AM,General Inquiry,Product Specs,General Specs,0,chat,10644,M. V.,Tempo Support
2020-09-10 9:17:17 AM,Technical Issues,Screen,Failed to power on,0,chat,10645,B. C.,Conversation with User
2020-09-10 9:19:59 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,10646,D. W.,
2020-09-10 9:21:37 AM,Partnership / Marketing,Opportunities,Partnerships,0,portal,10647,A. W. ,Adjustable Weight Kettlebell
2020-09-10 9:34:55 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,10648,M. V.,Tempo Support
2020-09-10 9:41:16 AM,Cancellations / Returns,Cancel Request,Canceled: Taking Too Long,0,email,10649,L. R.,Cancel order
2020-09-10 9:53:49 AM,Sales,Hot Lead,Undecided,0,chat,10650,M. V.,Tempo Support
2020-09-10 9:58:02 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,10651,A. W. ,Re: Your receipt from Tempo
2020-09-10 9:58:02 AM,Shipping / Delivery,Shipping Details,Expedited Delivery,0,chat,10652,A. W. ,Thank you for reaching out!
2020-09-10 9:58:04 AM,Partnership / Marketing,Opportunities,Partnerships,0,email,10653,L. R.,Chiro Promotion Opportunity
2020-09-10 10:12:18 AM,Account / Billing,Affirm,Affirm Inquiry,0,chat,10654,B. C.,Conversation with User
2020-09-10 10:17:30 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,10655,D. W.,Tempo status Question
2020-09-10 10:21:36 AM,Account / Billing,Transaction Failure,Failed Order,0,chat,10656,M. V.,Tempo Support
2020-09-10 10:25:44 AM,Account / Billing,Membership,Membership Inquiry,0,chat,10657,A. W. ,Thank you for reaching out!
2020-09-10 10:30:22 AM,Account / Billing,Order Details,Billing Issues,1,email,10658,B. C.,Re: Your receipt from Tempo
2020-09-10 10:36:33 AM,Shipping / Delivery,Shipping Details,Expedited Delivery,0,chat,10659,D. W.,Expedite Order
2020-09-10 10:46:17 AM,Sales,Purchasing Info,Pricing,0,chat,10660,M. V.,Tempo Support
2020-09-10 10:47:53 AM,Sales,Delivery Info,Delivery Expectations,0,chat,10661,D. W.,ETA
2020-09-10 10:50:24 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,10662,A. W. ,Thank you for reaching out!
2020-09-10 10:51:27 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,10663,A. W. ,Thank you for reaching out!
2020-09-10 10:54:43 AM,Account / Billing,Account,Profile Creation,0,email,10664,N. D.,Re: Your First Week With Tempo
2020-09-10 11:01:57 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,10665,M. V.,Order 07402721
2020-09-10 11:05:39 AM,Sales,Purchasing Info,Pricing,0,chat,10666,D. W.,Payment Structure
2020-09-10 11:09:21 AM,Sales,Delivery Info,International Delivery,0,chat,10667,N. D.,Conversation with User
2020-09-10 11:15:34 AM,Shipping / Delivery,Shipping Details,Delivery Window,1,email,10668,N. D.,Fwd: Tempo - What to expect next with your order
2020-09-10 11:18:17 AM,Sales,Delivery Info,International Delivery,0,chat,10669,N. D.,Conversation with User
2020-09-10 11:33:04 AM,Shipping / Delivery,Delivery Issues,Missed Delivery,0,email,10670,N. D.,Tempo and Affirm
2020-09-10 11:36:36 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,10671,M. V.,Tempo Support
2020-09-10 11:37:42 AM,Account / Billing,Contact Update,Billing Address Change,1,email,10672,L. R.,Updated shipping address
2020-09-10 11:40:50 AM,General Inquiry,Location,General Placement,0,chat,10673,N. D.,Conversation with User
2020-09-10 11:41:42 AM,General Inquiry,Accessories,Weights,0,chat,10674,M. V.,Tempo Support
2020-09-10 11:48:06 AM,Sales,Delivery Info,Delivery Expectations,0,chat,10675,D. W.,ETA
2020-09-10 11:54:48 AM,Cancellations / Returns,Return Request,Return Requested: TSing Denied,0,email,10676,B. C.,Your shipment is delayed ?
2020-09-10 11:55:41 AM,Sales,Purchasing Info,Available Methods,1,email,10677,B. C.,How can I place an order for 2 Tempos?
2020-09-10 12:00:08 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,10678,A. S. ,Re: Update on your order
2020-09-10 12:01:37 PM,Technical Issues,Heart Rate Monitor,Charging,4,chat,10679,M. V.,Tempo Support - HRM Issue
2020-09-10 12:06:16 PM,Account / Billing,Affirm,Failed Order,0,chat,10680,M. V.,Tempo Support
2020-09-10 12:13:11 PM,Account / Billing,Contact Update,Billing Address Change,0,email,10681,L. R.,Re: Order status
2020-09-10 12:17:12 PM,Shipping / Delivery,Shipping Details,Delivery Overview,0,chat,10682,B. C.,Conversation with User
2020-09-10 12:27:00 PM,Sales,Delivery Info,Delivery Expectations,0,chat,10683,D. W.,Expedite
2020-09-10 12:36:06 PM,Technical Issues,Network,WiFi Antenna,1,email,10684,A. W. ,Problems - Need Help
2020-09-10 12:42:43 PM,Technical Issues,Physical Damage,Weight Plate Collars,3,email,10685,A. W. ,2 collar issue
2020-09-10 12:51:11 PM,Shipping / Delivery,Order Details,Order Confirmation,2,chat,10686,B. C.,Tempo Follow Up
2020-09-10 12:51:51 PM,Sales,Delivery Info,Delivery Expectations,0,chat,10687,D. W.,WG Question
2020-09-10 12:56:54 PM,Sales,Promotions / Discounts,Military,0,email,10689,A. W. ,Military Discount
2020-09-10 12:59:53 PM,Partnership / Marketing,Opportunities,Partnerships,0,email,10690,L. R.,Partnership
2020-09-10 1:06:03 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,10691,M. V.,Tempo Support
2020-09-10 1:15:10 PM,Cancellations / Returns,Cancel Request,Canceled: Too Expensive,1,email,10692,L. R.,Order 1406c51c
2020-09-10 1:33:18 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,10693,M. V.,Tempo Support
2020-09-10 1:37:11 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,10694,M. V.,Tempo Support
2020-09-10 1:50:41 PM,Shipping / Delivery,Change Request,Color Change,3,email,10695,D. W.,Re: Order B2471 confirmed
2020-09-10 1:54:23 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,10696,D. W.,Re: Tempo - What to expect next with your order
2020-09-10 1:59:56 PM,General Inquiry,Accessories,Weights,0,chat,10697,N. D.,Conversation with User
2020-09-10 2:11:30 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,10698,D. W.,Order Status
2020-09-10 2:12:46 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,10699,M. V.,Tempo Support
2020-09-10 2:12:59 PM,Account / Billing,Affirm,Affirm Inquiry,0,chat,10700,M. V.,Tempo Support
2020-09-10 2:30:17 PM,General Inquiry,Product Specs,General Specs,0,chat,10701,M. V.,Tempo Support
2020-09-10 2:31:30 PM,Technical Issues,Heart Rate Monitor,User Error,0,chat,10702,D. W.,HRM
2020-09-10 2:33:32 PM,Shipping / Delivery,Shipping Details,Delivery Window,1,email,10703,M. V.,Order | #1846-3238 | Status
2020-09-10 2:33:56 PM,Cancellations / Returns,Cancel Request,Canceled: Changes to Living Situation,0,email,10704,L. R.,Re: Your ‪Tempo‬ receipt [#1938-4172]
2020-09-10 2:35:40 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,10705,A. W. ,Thank you for reaching out!
2020-09-10 2:42:45 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,10706,D. W.,
2020-09-10 2:47:32 PM,Technical Issues,Network,Failed to Log In,4,email,10707,A. W. ,Error Message
2020-09-10 3:06:43 PM,Shipping / Delivery,Delivery Issues,Late Delivery,0,email,10708,B. C.,Fwd: Claim Confirmation: 306251 - KEI DONCIC - Cargo Loss and Damage
2020-09-10 3:07:41 PM,General Inquiry,Product Specs,Network Requirements,0,chat,10709,M. V.,Tempo Support
2020-09-10 3:08:06 PM,Sales,Purchasing Info,Pricing,0,chat,10710,B. C.,Conversation with User
2020-09-10 3:08:08 PM,Account / Billing,Membership,Membership Fees,0,email,10711,L. R.,
2020-09-10 3:41:18 PM,Shipping / Delivery,Shipping Details,Delivery Window,1,email,10712,N. D.,Status update
2020-09-10 3:45:52 PM,Sales,Purchasing Info,Membership Requirements,0,chat,10715,D. W.,Membership Q
2020-09-10 3:57:16 PM,Shipping / Delivery,Shipping Details,Delivery Overview,0,email,10716,D. W.,Re: Your receipt from Tempo
2020-09-10 4:05:37 PM,Account / Billing,Promotions / Discounts,Retroactive,1,email,10717,L. R.,Coupon Code for prophesional@gmail.com
2020-09-10 4:08:06 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,10718,M. V.,Tempo Support
2020-09-10 4:18:37 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,10719,M. V.,Delivery status
2020-09-10 4:24:13 PM,Technical Issues,Network,WiFi Antenna,3,chat,10720,M. V.,Tempo Support
2020-09-10 4:26:28 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,10721,A. W. ,Thank you for reaching out!
2020-09-10 4:31:45 PM,Shipping / Delivery,Delivery Issues,Missed Delivery,2,chat,10722,N. D.,Thank you for contacting Tempo
2020-09-10 4:42:47 PM,Sales,Hot Lead,Undecided,0,chat,10724,M. V.,Tempo Support
2020-09-10 4:44:03 PM,Technical Issues,Network,Buffering,0,email,10725,N. D.,Devon Harvey/Tempo
2020-09-10 4:52:52 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,10726,D. W.,Delivery Window
2020-09-10 4:57:45 PM,Sales,Delivery Info,Delivery Expectations,0,chat,10727,D. W.,Delivery ETA
2020-09-10 4:58:53 PM,General Inquiry,Product Specs,General Specs,0,chat,10728,A. W. ,Thank you for reaching out!
2020-09-10 5:06:24 PM,Technical Issues,Network,JavaScript Error,1,email,10729,B. C.,Error
2020-09-10 5:34:02 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,10732,A. W. ,Conversation with User
2020-09-10 5:58:15 PM,Shipping / Delivery,Delivery Issues,Missed Delivery,0,email,10733,N. D.,Re: Get started with your Tempo today
2020-09-10 6:05:50 PM,General Inquiry,Product Specs,Weight Specs,0,email,10734,A. S. ,Weight
2020-09-10 6:09:41 PM,Account / Billing,Promotions / Discounts,First Responder,2,email,10735,A. W. ,Essential employee
2020-09-10 6:18:27 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,10736,A. S. ,Tempo
2020-09-10 6:27:57 PM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,10737,A. S. ,Tempo order
2020-09-10 6:29:11 PM,Technical Issues,Screen,Flickering,5,email,10739,J. M.,Issues with tempo
2020-09-10 6:55:10 PM,Technical Issues,Camera,Emergent,0,chat,10740,A. W. ,Thank you for contacting Tempo
2020-09-10 7:01:35 PM,General Inquiry,Product Specs,Network Requirements,0,email,10741,D. W.,Data usage?
2020-09-10 7:09:15 PM,Shipping / Delivery,Shipping Details,Delivery Window,1,email,10742,A. S. ,Order #1212-3558 status
2020-09-10 7:37:03 PM,Cancellations / Returns,Cancel Request,Canceled: Too Expensive,1,email,10743,L. R.,Cancelling
2020-09-10 8:32:24 PM,Sales,Delivery Info,International Delivery,0,email,10745,A. S. ,Shipping
2020-09-10 9:34:07 PM,Cancellations / Returns,Return Request,Return Requested: 30 Day - No Reason,1,email,10746,L. R.,Dissatisfied
2020-09-10 9:34:56 PM,Account / Billing,Membership,Membership Fees,1,email,10747,L. R.,Re: Your receipt from ‪Tempo‬ #2667-0314
2020-09-10 9:55:55 PM,Shipping / Delivery,Shipping Details,Expedited Delivery,3,email,10749,B. C.,TEMPO PURCHASE
2020-09-10 10:01:07 PM,Sales,Delivery Info,International Delivery,0,email,10750,D. W.,Shipping
2020-09-10 10:30:57 PM,Partnership / Marketing,Opportunities,Partnerships,0,email,10751,N. D.,You have a new application for Senior UX Researcher
2020-09-10 11:23:56 PM,Partnership / Marketing,Opportunities,Partnerships,0,email,10752,B. C.,Hi Tempo! Thought you might want to consider BPO partner.
2020-09-11 12:06:29 AM,Partnership / Marketing,Opportunities,Partnerships,0,email,10753,N. D.,You wanted to talk?
2020-09-11 12:21:53 AM,General Inquiry,Accessories,Store Availability,1,email,10754,B. C.,Additional purchases
2020-09-11 4:31:27 AM,Technical Issues,Network,Buffering,1,email,10756,N. D.,Connection issues
2020-09-11 5:39:50 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,10757,D. W.,Order Status
2020-09-11 5:58:37 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,10758,B. C.,Conversation with User
2020-09-11 6:25:04 AM,Shipping / Delivery,Shipping Details,Delivery Window,1,email,10759,A. S. ,Order status
2020-09-11 6:40:27 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,10761,N. D.,Fwd: Your receipt from Tempo
2020-09-11 6:42:11 AM,Sales,Purchasing Info,Membership Requirements,0,email,10762,B. C.,Membership
2020-09-11 6:52:08 AM,Sales,Promotions / Discounts,Military,0,email,10763,A. W. ,Military Discount and Question
2020-09-11 6:55:38 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,10764,N. D.,Re: Your receipt from Tempo
2020-09-11 7:04:52 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,10765,B. C.,Conversation with User
2020-09-11 7:11:59 AM,Cancellations / Returns,Cancel Request,Canceled: Changes to Living Situation,1,email,10766,L. R.,Cancel
2020-09-11 7:18:39 AM,Shipping / Delivery,Shipping Details,Delivery Overview,2,email,10767,B. C.,Order number 918BD338
2020-09-11 7:20:17 AM,Shipping / Delivery,Shipping Details,Delivery Overview,1,email,10768,D. W.,Tempo Order Status
2020-09-11 7:21:38 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,email,10769,A. S. ,Delivery Scheduling
2020-09-11 7:25:07 AM,Shipping / Delivery,Shipping Details,Delivery Window,0,chat,10770,N. D.,Thank you for contacting Tempo
2020-09-11 7:43:28 AM,Account / Billing,Contact Update,Billing Address Change,2,email,10771,L. R.,Re: Tempo - Order Status
2020-09-11 7:58:38 AM,Sales,Delivery Info,Delivery Expectations,1,email,10772,A. S. ,Delivery
2020-09-11 8:23:11 AM,Shipping / Delivery,Shipping Details,Delivery Window,1,chat,10773,N. D.,Thank you for contacting Tempo!
2020-09-11 8:36:52 AM,Cancellations / Returns,Cancel Request,Canceled: Changes to Living Situation,0,email,10774,L. R.,Re: Order B2617 confirmed
2020-09-11 8:40:07 AM,Shipping / Delivery,Shipping Details,Delivery Window,1,email,10776,A. S. ,Shipping times
2020-09-11 8:56:56 AM,Sales,Purchasing Info,Membership Requirements,0,chat,10777,N. D.,Conversation with User
2020-09-11 8:58:35 AM,Sales,Promotions / Discounts,First Responder,0,chat,10778,N. D.,Conversation with User
2020-09-11 8:59:20 AM,Sales,Delivery Info,International Delivery,0,chat,10779,N. D.,Conversation with User
2020-09-11 9:00:42 AM,Account / Billing,Affirm,Failed Order,0,chat,10780,N. D.,Conversation with User
2020-09-11 9:01:14 AM,Sales,Purchasing Info,Pricing,0,chat,10781,N. D.,Conversation with User
2020-09-11 9:02:49 AM,Sales,Delivery Info,Delivery Expectations,0,chat,10782,D. W.,ETA
2020-09-11 9:03:04 AM,General Inquiry,Product Specs,General Specs,0,chat,10783,N. D.,Conversation with User
2020-09-11 9:04:26 AM,General Inquiry,Product Specs,General Specs,0,chat,10784,N. D.,Conversation with User
2020-09-11 9:04:29 AM,General Inquiry,Accessories,Benches,0,chat,10785,B. C.,Conversation with User
2020-09-11 9:05:02 AM,General Inquiry,Location,International,0,chat,10786,B. C.,Conversation with User
2020-09-11 9:05:54 AM,Partnership / Marketing,Opportunities,Partnerships,0,chat,10787,B. C.,Conversation with User
2020-09-11 9:05:57 AM,General Inquiry,Product Specs,Barbell / Dumbbell Specs,0,chat,10788,A. S. ,Conversation with User
2020-09-11 9:06:53 AM,General Inquiry,Product Specs,Network Requirements,0,chat,10789,B. C.,Conversation with User
2020-09-11 9:09:23 AM,Sales,Delivery Info,Delivery Expectations,0,chat,10790,N. D.,Conversation with User
2020-09-11 9:10:09 AM,Fitness / Content,Live Classes,Availability,0,chat,10791,A. W. ,Thank you for reaching out!
